Commit,Medium_Severity,Commit_Date,Fixed_In_Commit,Fix_Date,Duration_Days,Commits_Between
123b09c28945c0a7c54c6cafce7cb1d097028cde,1,2024-02-22 15:32:56+00:00,578e02d20bc63bddc0fc25c28bf7569519b89838,2024-02-23 15:26:23+00:00,0,5
195d7c97df51e74430c638b8e7fd9da5660bb58a,1,2023-11-09 23:05:04+00:00,26f04e284a80b7b7351186a1c0485e663bae6885,2023-11-10 10:51:45+00:00,0,6
19ab5ffdc7870543cfdb57bb3173c26898df0117,1,2024-06-14 14:29:11+00:00,4694e176f4866a6975059a3f69085fab70aa7a30,2024-06-18 22:11:53+00:00,4,3
1a38fbaaf3edb00e8ee2dd0a906be1235395958d,1,2024-12-01 08:30:53+00:00,a9237b4b3fc5f83df40bd914a18c7f7a18743270,2024-12-03 19:43:45+00:00,2,2
22bc40ea3fbc41ebf0299bd840f455a423225262,2,2023-11-30 14:49:13+00:00,c2caf259a64a43a6ee257cfc4b3bc0cf300e5288,2023-12-04 19:45:42+00:00,4,7
38e9ac89fa69bfbfc80d2ee7cf194b5ddc3d12e6,2,2023-11-09 23:05:04+00:00,26f04e284a80b7b7351186a1c0485e663bae6885,2023-11-10 10:51:45+00:00,0,1
486c2af3ba2e3b5549c1c28da047efd603b343dd,1,2024-06-10 21:50:08+00:00,4694e176f4866a6975059a3f69085fab70aa7a30,2024-06-18 22:11:53+00:00,8,8
525f2e5a5aced4ec1944886423249ad40952505c,8,2023-11-09 23:05:04+00:00,26f04e284a80b7b7351186a1c0485e663bae6885,2023-11-10 10:51:45+00:00,0,3
59d4f2b45fe556e23dfec9569d74ec41aa3f3c57,1,2024-09-09 13:15:15+00:00,5c0b0dfe68b5aabcf3753be320fdd41e9f5df0f3,2024-09-09 16:09:57+00:00,0,2
67ee06623d1b7b89243b0606a9f1251ab689d83c,2,2024-02-22 15:32:56+00:00,578e02d20bc63bddc0fc25c28bf7569519b89838,2024-02-23 15:26:23+00:00,0,4
78de5f5a713ba218dc519882b4d2686dd2965b03,2,2024-05-20 22:17:31+00:00,99919ef17454d6aadbf329dff97b8020b24a618f,2024-05-21 15:16:06+00:00,0,2
7915f1002025bb50ac1b98e571d1ab0962e84eef,2,2023-11-09 23:05:04+00:00,26f04e284a80b7b7351186a1c0485e663bae6885,2023-11-10 10:51:45+00:00,0,2
7f6ee7c56c17cda9b9d16705980c68743ac7513c,1,2024-04-05 10:09:07+00:00,e75462b32581d7ef110ab6f517464d5af5dbed39,2024-04-10 17:14:51+00:00,5,2
87a2a92338f461cd1e87323eb9e934036c759db3,1,2024-05-30 00:34:31+00:00,04789eb7ac6dca7b5921608aa6cdc3a637876877,2024-05-30 19:41:36+00:00,0,6
8b368a1012a631fd961630e26dc7b81cf2d95027,2,2024-02-22 15:32:56+00:00,578e02d20bc63bddc0fc25c28bf7569519b89838,2024-02-23 15:26:23+00:00,0,6
aa3470a951b857286bcc2d1eba6289fa60d2dcbe,2,2023-11-06 16:56:37+00:00,694bf84717f51f693fe19310356e694530a06cbf,2023-11-09 17:03:42+00:00,3,2
b61cc6f8934259a30beb8af627adcbcf654b46ae,2,2024-06-14 14:28:57+00:00,4694e176f4866a6975059a3f69085fab70aa7a30,2024-06-18 22:11:53+00:00,4,5
ba8a124af97c8a93107ab35ae84b597a69d8e057,4,2023-12-04 19:45:42+00:00,51aa84e51179d80758b3bbd7dce097b2b2e4fd19,2023-12-04 19:58:24+00:00,0,5
baf7f41ecb2a3fc90fb02983f47f379058a25a3b,1,2023-10-02 19:34:25+00:00,31b0dab9d6ac70e2a316872c02cfc6172b5fac91,2023-10-02 21:40:54+00:00,0,1
bffcd04ca4357f3d382cb5b3d69c6956f9ae9bcb,1,2024-08-09 13:09:08+00:00,8ab133b0efc3eec37d17a407712a89c076e7c483,2024-08-27 15:22:00+00:00,18,7
c4b35f3a76015881c8d07a39ab6cd4a300029acc,1,2023-11-17 21:55:13+00:00,3f0447b1b4b31798e15f3662334ebf56059944ab,2023-11-28 14:31:32+00:00,10,6
d9df1ddda75beea32acd02ae2edcfb3dd252eb83,1,2024-06-14 14:29:11+00:00,4694e176f4866a6975059a3f69085fab70aa7a30,2024-06-18 22:11:53+00:00,4,2
e66cb196f3ab8cb09053c5737713e9d8683dc020,1,2023-09-26 21:22:09+00:00,31b0dab9d6ac70e2a316872c02cfc6172b5fac91,2023-10-02 21:40:54+00:00,6,10
e6f9e0a9e1334c4fa8caa920da4b648e4bea7a86,1,2024-01-16 19:33:50+00:00,b485af0e362eabf4824d4b31257408ec42000e6e,2024-01-30 22:33:25+00:00,14,2
ff321c932ea28e95abe896fa1abba3c26195e0dd,2,2023-11-24 19:04:51+00:00,3f0447b1b4b31798e15f3662334ebf56059944ab,2023-11-28 14:31:32+00:00,3,5
